,Date,Price,Open,High,Low,Vol.,Change %,realbody,range,bullish_pinbar,bearish_three-line_strike,bullish_pinbar_success,bearish_three-line_strike_success
114,"Apr 25, 2021",48963.6,50088.2,50532.4,47098.5,59.20K,-2.25%,1124.5999999999985,3433.9000000000015,False,False,,
115,"Apr 26, 2021",54020.5,48963.5,54320.9,48815.9,129.76K,10.33%,-5057.0,5505.0,True,False,True,
116,"Apr 27, 2021",55036.5,54011.1,55427.8,53345.0,84.08K,1.88%,-1025.4000000000015,2082.800000000003,False,False,,
117,"Apr 28, 2021",54841.4,55036.0,56419.9,53876.4,86.96K,-0.35%,194.59999999999854,2543.5,False,False,,
118,"Apr 29, 2021",53560.8,54838.6,55173.7,52400.0,83.90K,-2.34%,1277.7999999999956,2773.699999999997,False,False,,
119,"Apr 30, 2021",57720.3,53562.3,57925.6,53088.7,103.74K,7.77%,-4158.0,4836.9000000000015,False,False,,
120,"May 01, 2021",57807.1,57719.1,58449.4,57029.5,63.41K,0.15%,-88.0,1419.9000000000015,False,False,,
121,"May 02, 2021",56603.8,57807.2,57868.4,56110.5,53.61K,-2.08%,1203.3999999999942,1757.9000000000015,False,False,,
122,"May 03, 2021",57169.8,56605.8,58925.1,56562.4,89.24K,1.00%,-564.0,2362.699999999997,False,False,,
123,"May 04, 2021",53741.5,57170.6,57201.3,53741.5,132.33K,-6.00%,3429.0999999999985,3459.800000000003,False,False,,
124,"May 05, 2021",57441.3,53872.5,57936.4,53872.5,119.82K,6.88%,-3568.800000000003,4063.9000000000015,False,False,,
125,"May 06, 2021",56405.4,57441.0,58364.9,55294.5,109.02K,-1.80%,1035.5999999999985,3070.4000000000015,False,True,,True
126,"May 07, 2021",57337.2,56411.4,58639.3,55300.1,110.01K,1.65%,-925.7999999999956,3339.2000000000044,False,False,,
127,"May 08, 2021",58840.1,57330.3,59471.1,56972.2,101.27K,2.62%,-1509.7999999999956,2498.9000000000015,False,False,,
128,"May 09, 2021",58238.3,58840.6,59227.0,56414.4,103.59K,-1.02%,602.2999999999956,2812.5999999999985,False,False,,
129,"May 10, 2021",55848.9,58251.2,59523.9,53678.3,142.61K,-4.10%,2402.2999999999956,5845.5999999999985,False,False,,
130,"May 11, 2021",56695.7,55846.1,56871.1,54550.4,96.47K,1.52%,-849.5999999999985,2320.699999999997,False,False,,
131,"May 12, 2021",49384.2,56694.5,57938.5,49187.0,160.74K,-12.90%,7310.300000000003,8751.5,False,False,,
132,"May 13, 2021",49704.6,49398.2,51337.3,46331.1,236.71K,0.65%,-306.40000000000146,5006.200000000004,False,False,,
133,"May 14, 2021",49839.8,49704.9,51459.2,48874.0,118.84K,0.27%,-134.90000000000146,2585.199999999997,False,True,,False
134,"May 15, 2021",46708.8,49839.1,50640.9,46650.2,131.91K,-6.28%,3130.2999999999956,3990.7000000000044,False,False,,
135,"May 16, 2021",46426.4,46729.3,49764.3,43920.8,180.07K,-0.60%,302.90000000000146,5843.5,False,False,,
136,"May 17, 2021",43541.3,46424.2,46545.4,42201.5,274.76K,-6.21%,2882.899999999994,4343.9000000000015,False,False,,
